,GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,CMA_UID,PR_UID,CSD_UID,CD_UID,v_CA16_2397: Median total income of households in 2015 ($),v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",v_CA16_4895: Median value of dwellings ($),v_CA16_4893: Median monthly shelter costs for owned dwellings ($),v_CA16_4900: Median monthly shelter costs for rented dwellings ($),v_CA16_4862: Total - Occupied private dwellings by period of construction - 25% sample data,v_CA16_404: Total private dwellings,"v_CA16_401: Population, 2016",v_CA16_4836: Total - Private households by tenure - 25% sample data,v_CA16_4: 0 to 14 years,v_CA16_1: Age Stats,v_CA16_61: 15 to 64 years,v_CA16_244: 65 years and over,v_CA16_6692: Total - Mobility status 1 year ago - 25% sample data,v_CA16_6719: Total - Mobility status 5 years ago - 25% sample data
1,9330001.01,CT,Vancouver,1.01953,6293.0,2334.0,2314.0,59933,59,5915022,5915,72141.0,5245.0,3300.0,580305.0,954.0,1043.0,2330.0,2334.0,6293.0,2325.0,895.0,6295.0,4125.0,1280.0,6060.0,5855.0
2,9330001.02,CT,Vancouver,2.02898,5456.0,2132.0,2089.0,59933,59,5915022,5915,76826.0,4450.0,3070.0,600367.0,1476.0,1264.0,2075.0,2132.0,5456.0,2075.0,860.0,5455.0,3660.0,940.0,5285.0,4995.0
3,9330002.01,CT,Vancouver,2.02909,6150.0,2631.0,2507.0,59933,59,5915022,5915,72448.0,5255.0,3690.0,739622.0,1192.0,1171.0,2495.0,2631.0,6150.0,2500.0,830.0,6150.0,4325.0,995.0,5960.0,5750.0
4,9330002.03,CT,Vancouver,0.78516,4077.0,1497.0,1292.0,59933,59,5915022,5915,77824.0,3580.0,2340.0,1647949.0,893.0,1004.0,1285.0,1497.0,4077.0,1285.0,495.0,4080.0,2885.0,695.0,4050.0,3895.0
5,9330002.04,CT,Vancouver,0.84513,4509.0,1652.0,1560.0,59933,59,5915022,5915,81701.0,3650.0,2440.0,850650.0,1203.0,1147.0,1570.0,1652.0,4509.0,1570.0,580.0,4510.0,2890.0,1040.0,4250.0,4050.0
6,9330003.01,CT,Vancouver,0.54316,3714.0,1210.0,1080.0,59933,59,5915022,5915,73472.0,3100.0,2025.0,1503650.0,1540.0,1010.0,1070.0,1210.0,3714.0,1075.0,605.0,3715.0,2615.0,490.0,3625.0,3475.0
7,9330003.02,CT,Vancouver,1.19645,4613.0,1429.0,1316.0,59933,59,5915022,5915,67840.0,3735.0,2475.0,1394934.0,1787.0,903.0,1325.0,1429.0,4613.0,1320.0,655.0,4615.0,3200.0,755.0,4380.0,4225.0
8,9330004.01,CT,Vancouver,1.63291,4925.0,2537.0,1928.0,59933,59,5915022,5915,59026.0,4225.0,2560.0,1203963.0,917.0,1421.0,1930.0,2537.0,4925.0,1925.0,500.0,4925.0,3450.0,975.0,4565.0,4425.0
9,9330004.02,CT,Vancouver,1.24706,5652.0,1847.0,1689.0,59933,59,5915022,5915,70067.0,4685.0,3100.0,1400133.0,1333.0,948.0,1690.0,1847.0,5652.0,1690.0,840.0,5655.0,3880.0,930.0,5595.0,5415.0
10,9330005.00,CT,Vancouver,1.59397,7302.0,4444.0,4326.0,59933,59,5915022,5915,44160.0,6685.0,5095.0,340586.0,1037.0,937.0,4330.0,4444.0,7302.0,4325.0,620.0,7305.0,5935.0,745.0,7225.0,7025.0
11,9330006.01,CT,Vancouver,0.91749,4699.0,1784.0,1687.0,59933,59,5915022,5915,67123.0,4100.0,2530.0,2000526.0,1001.0,1032.0,1635.0,1784.0,4699.0,1635.0,565.0,4700.0,3370.0,765.0,4505.0,4365.0
12,9330006.02,CT,Vancouver,1.09361,5233.0,1925.0,1827.0,59933,59,5915022,5915,66125.0,4440.0,2970.0,1999172.0,947.0,1096.0,1880.0,1925.0,5233.0,1875.0,625.0,5235.0,3715.0,895.0,5135.0,4945.0
13,9330007.01,CT,Vancouver,2.84304,5543.0,2373.0,2157.0,59933,59,5915022,5915,73280.0,4770.0,2860.0,2397887.0,1207.0,1131.0,2130.0,2373.0,5543.0,2130.0,765.0,5545.0,3755.0,1020.0,5295.0,5140.0
14,9330007.02,CT,Vancouver,1.41849,3452.0,1256.0,1153.0,59933,59,5915022,5915,99520.0,2960.0,1815.0,3493813.0,1782.0,1656.0,1185.0,1256.0,3452.0,1180.0,495.0,3455.0,2350.0,615.0,3625.0,3515.0
15,9330008.02,CT,Vancouver,3.74406,4200.0,1619.0,1495.0,59933,59,5915022,5915,125184.0,3545.0,2125.0,3002444.0,1255.0,1950.0,1490.0,1619.0,4200.0,1490.0,655.0,4200.0,2745.0,800.0,4200.0,4085.0
16,9330009.00,CT,Vancouver,1.6647,7103.0,3440.0,3199.0,59933,59,5915022,5915,60544.0,6240.0,3730.0,2206738.0,1372.0,1255.0,3200.0,3440.0,7103.0,3195.0,845.0,7105.0,4880.0,1380.0,7055.0,6865.0
17,9330010.01,CT,Vancouver,1.41537,5352.0,2389.0,2212.0,59933,59,5915022,5915,58197.0,4690.0,2885.0,1505397.0,1198.0,1337.0,2280.0,2389.0,5352.0,2280.0,655.0,5355.0,3470.0,1220.0,5605.0,5420.0
18,9330010.02,CT,Vancouver,1.39303,4741.0,1760.0,1647.0,59933,59,5915022,5915,71467.0,4045.0,2295.0,3006463.0,1502.0,1648.0,1580.0,1760.0,4741.0,1575.0,600.0,4740.0,3170.0,975.0,4325.0,4195.0
19,9330011.00,CT,Vancouver,1.5728,6615.0,2642.0,2310.0,59933,59,5915022,5915,63334.0,5690.0,3560.0,1499413.0,822.0,950.0,2310.0,2642.0,6615.0,2310.0,920.0,6615.0,4520.0,1175.0,6555.0,6305.0
20,9330012.00,CT,Vancouver,1.54279,8102.0,3337.0,2904.0,59933,59,5915022,5915,71851.0,6970.0,4535.0,1799537.0,1105.0,1092.0,2905.0,3337.0,8102.0,2905.0,1110.0,8100.0,5730.0,1255.0,8030.0,7715.0
21,9330013.01,CT,Vancouver,1.14038,6485.0,2398.0,2155.0,59933,59,5915022,5915,65978.0,5565.0,3480.0,1451334.0,743.0,1001.0,2155.0,2398.0,6485.0,2155.0,915.0,6485.0,4455.0,1120.0,6420.0,6235.0
22,9330013.03,CT,Vancouver,0.62391,4981.0,1727.0,1562.0,59933,59,5915022,5915,63872.0,4255.0,2625.0,1502316.0,1159.0,904.0,1540.0,1727.0,4981.0,1545.0,725.0,4980.0,3440.0,815.0,4900.0,4785.0
23,9330013.04,CT,Vancouver,0.47728,3635.0,1243.0,1102.0,59933,59,5915022,5915,71782.0,3135.0,1965.0,1347364.0,777.0,1002.0,1120.0,1243.0,3635.0,1120.0,495.0,3630.0,2535.0,600.0,3640.0,3485.0
24,9330014.01,CT,Vancouver,0.50408,3084.0,1117.0,1015.0,59933,59,5915022,5915,64128.0,2700.0,1745.0,1299808.0,727.0,972.0,1025.0,1117.0,3084.0,1025.0,380.0,3085.0,2105.0,600.0,3050.0,2935.0
25,9330014.02,CT,Vancouver,0.80703,5980.0,2232.0,2056.0,59933,59,5915022,5915,53029.0,5195.0,3235.0,1349035.0,710.0,773.0,2055.0,2232.0,5980.0,2055.0,765.0,5980.0,4045.0,1165.0,5910.0,5695.0
26,9330015.01,CT,Vancouver,0.93135,5485.0,2017.0,1734.0,59933,59,5915022,5915,75849.0,4690.0,2885.0,1600369.0,920.0,1003.0,1730.0,2017.0,5485.0,1735.0,790.0,5485.0,3690.0,1005.0,5440.0,5185.0
27,9330015.02,CT,Vancouver,1.34265,6246.0,2319.0,2052.0,59933,59,5915022,5915,68096.0,5235.0,3215.0,1507123.0,873.0,1052.0,2055.0,2319.0,6246.0,2055.0,690.0,6250.0,4200.0,1360.0,5880.0,5775.0
28,9330016.01,CT,Vancouver,0.67646,5257.0,1918.0,1767.0,59933,59,5915022,5915,59959.0,4450.0,2955.0,1392813.0,865.0,951.0,1765.0,1918.0,5257.0,1765.0,725.0,5255.0,3760.0,770.0,5120.0,4940.0
29,9330016.04,CT,Vancouver,0.93633,7370.0,2846.0,2622.0,59933,59,5915022,5915,65664.0,6400.0,4345.0,999492.0,1132.0,1024.0,2620.0,2846.0,7370.0,2625.0,945.0,7370.0,5430.0,1000.0,7290.0,7045.0
30,9330016.05,CT,Vancouver,0.54272,4764.0,2005.0,1815.0,59933,59,5915022,5915,58325.0,4175.0,2855.0,1196089.0,1445.0,1075.0,1785.0,2005.0,4764.0,1785.0,590.0,4765.0,3545.0,630.0,4715.0,4585.0
31,9330016.06,CT,Vancouver,0.12378,4889.0,3239.0,2448.0,59933,59,5915022,5915,55723.0,4380.0,3260.0,349487.0,1171.0,1284.0,2475.0,3239.0,4889.0,2475.0,510.0,4895.0,3925.0,460.0,4840.0,4640.0
32,9330017.01,CT,Vancouver,1.15993,7535.0,2909.0,2647.0,59933,59,5915022,5915,65067.0,6590.0,4285.0,1394832.0,781.0,1103.0,2645.0,2909.0,7535.0,2650.0,935.0,7535.0,5375.0,1225.0,7455.0,7200.0
33,9330017.02,CT,Vancouver,0.85474,6632.0,2482.0,2291.0,59933,59,5915022,5915,63936.0,5760.0,3885.0,1097845.0,1114.0,990.0,2300.0,2482.0,6632.0,2300.0,820.0,6630.0,4800.0,1005.0,6710.0,6505.0
34,9330018.01,CT,Vancouver,0.90264,6933.0,2535.0,2300.0,59933,59,5915022,5915,65609.0,5985.0,4075.0,1301414.0,793.0,1004.0,2305.0,2535.0,6933.0,2305.0,930.0,6935.0,4880.0,1130.0,7095.0,6765.0
35,9330018.02,CT,Vancouver,0.98795,6958.0,2668.0,2402.0,59933,59,5915022,5915,74752.0,5890.0,3970.0,1302297.0,1290.0,1179.0,2400.0,2668.0,6958.0,2400.0,1035.0,6960.0,4990.0,935.0,6840.0,6580.0
36,9330019.00,CT,Vancouver,1.84676,4882.0,2160.0,1924.0,59933,59,5915022,5915,70617.0,4135.0,2650.0,1698207.0,979.0,1128.0,1910.0,2160.0,4882.0,1915.0,625.0,4880.0,3200.0,1060.0,4710.0,4530.0
37,9330020.00,CT,Vancouver,1.39343,2700.0,912.0,842.0,59933,59,5915022,5915,99968.0,2020.0,1125.0,2500065.0,1235.0,1800.0,815.0,912.0,2700.0,815.0,265.0,2700.0,1465.0,965.0,2115.0,2060.0
38,9330021.00,CT,Vancouver,2.21041,3684.0,1370.0,1230.0,59933,59,5915022,5915,143155.0,3105.0,1690.0,3601500.0,1958.0,1604.0,1195.0,1370.0,3684.0,1190.0,560.0,3680.0,2440.0,680.0,3555.0,3465.0
39,9330022.00,CT,Vancouver,0.31932,3062.0,1792.0,1681.0,59933,59,5915022,5915,56544.0,2790.0,1490.0,1000097.0,991.0,1476.0,1705.0,1792.0,3062.0,1700.0,270.0,3060.0,1820.0,975.0,3120.0,3070.0
40,9330023.00,CT,Vancouver,1.20023,4227.0,1558.0,1367.0,59933,59,5915022,5915,111360.0,3395.0,2075.0,3006649.0,1287.0,1653.0,1375.0,1558.0,4227.0,1370.0,670.0,4225.0,2710.0,840.0,3995.0,3905.0
41,9330024.00,CT,Vancouver,1.7023,5787.0,2241.0,1986.0,59933,59,5915022,5915,116395.0,4815.0,2865.0,3014636.0,1306.0,1699.0,1990.0,2241.0,5787.0,1985.0,975.0,5785.0,3875.0,945.0,5765.0,5640.0
42,9330025.00,CT,Vancouver,1.98912,7420.0,2993.0,2692.0,59933,59,5915022,5915,92818.0,6070.0,3555.0,2790945.0,1326.0,1550.0,2685.0,2993.0,7420.0,2685.0,1250.0,7425.0,4910.0,1260.0,7245.0,7060.0
43,9330026.00,CT,Vancouver,1.25934,4675.0,1926.0,1760.0,59933,59,5915022,5915,82432.0,3990.0,2415.0,3008054.0,1293.0,1064.0,1770.0,1926.0,4675.0,1765.0,680.0,4675.0,3100.0,890.0,4685.0,4560.0
44,9330027.01,CT,Vancouver,1.27204,4074.0,1561.0,1434.0,59933,59,5915022,5915,85504.0,3415.0,2115.0,3001871.0,1289.0,2099.0,1470.0,1561.0,4074.0,1470.0,545.0,4075.0,2700.0,835.0,4050.0,3975.0
45,9330027.02,CT,Vancouver,1.03066,3787.0,1541.0,1387.0,59933,59,5915022,5915,67456.0,3065.0,1880.0,2307775.0,1477.0,1834.0,1365.0,1541.0,3787.0,1370.0,565.0,3790.0,2540.0,675.0,3550.0,3475.0
46,9330028.00,CT,Vancouver,1.4746,3063.0,1284.0,1163.0,59933,59,5915022,5915,98048.0,2610.0,1695.0,3490719.0,1733.0,1275.0,1155.0,1284.0,3063.0,1155.0,440.0,3060.0,2100.0,520.0,3015.0,2915.0
47,9330029.00,CT,Vancouver,1.50157,6798.0,3011.0,2779.0,59933,59,5915022,5915,83861.0,5500.0,4030.0,1944662.0,1271.0,1359.0,2815.0,3011.0,6798.0,2810.0,990.0,6795.0,4725.0,1075.0,6610.0,6320.0
48,9330030.00,CT,Vancouver,1.45623,6896.0,2772.0,2586.0,59933,59,5915022,5915,89549.0,5745.0,4100.0,1552278.0,1215.0,1364.0,2600.0,2772.0,6896.0,2600.0,1120.0,6900.0,4880.0,895.0,6815.0,6550.0
49,9330031.01,CT,Vancouver,0.89854,6156.0,2805.0,2546.0,59933,59,5915022,5915,86144.0,5180.0,3850.0,2001711.0,1456.0,1248.0,2525.0,2805.0,6156.0,2525.0,960.0,6155.0,4475.0,725.0,6140.0,5935.0
50,9330031.02,CT,Vancouver,0.69343,4621.0,1962.0,1779.0,59933,59,5915022,5915,82816.0,3900.0,2825.0,1296419.0,1402.0,1254.0,1800.0,1962.0,4621.0,1800.0,715.0,4620.0,3325.0,580.0,4445.0,4230.0
51,9330032.00,CT,Vancouver,1.24197,9098.0,3901.0,3619.0,59933,59,5915022,5915,72802.0,7770.0,5740.0,1097960.0,1493.0,1206.0,3615.0,3901.0,9098.0,3615.0,1320.0,9100.0,6755.0,1030.0,8885.0,8500.0
52,9330033.01,CT,Vancouver,0.68227,5187.0,2072.0,1914.0,59933,59,5915022,5915,81636.0,4375.0,3250.0,1201241.0,1456.0,1205.0,1925.0,2072.0,5187.0,1930.0,790.0,5190.0,3765.0,630.0,5345.0,5090.0
53,9330033.02,CT,Vancouver,0.44716,3136.0,1143.0,1020.0,59933,59,5915022,5915,70827.0,2640.0,1635.0,1247649.0,1564.0,949.0,1010.0,1143.0,3136.0,1010.0,495.0,3135.0,2190.0,455.0,2880.0,2765.0
54,9330034.01,CT,Vancouver,0.67336,5221.0,1932.0,1784.0,59933,59,5915022,5915,64128.0,4485.0,2805.0,1201082.0,902.0,997.0,1780.0,1932.0,5221.0,1780.0,710.0,5225.0,3665.0,845.0,4935.0,4785.0
55,9330034.02,CT,Vancouver,1.37365,7294.0,2650.0,2487.0,59933,59,5915022,5915,72290.0,5950.0,4080.0,1199845.0,1335.0,1002.0,2485.0,2650.0,7294.0,2485.0,1075.0,7295.0,4995.0,1230.0,6940.0,6540.0
